index,name
5,Amygdala_left
90,Amygdala_right
36,Hypothalamus_left
121,Hypothalamus_right
26,Hipp_CA1_A_left
27,Hipp_CA1_P_left
28,Hipp_CA2_left
29,Hipp_CA3_A_left
30,Hipp_CA3_P_left
31,Hipp_dentegyrus_A_left
32,Hipp_dentegyrus_P_left
33,Hipp_FC_left
34,Hipp_Sub_A_left
35,Hipp_Sub_P_left
111,Hipp_CA1_A_right
112,Hipp_CA1_P_right
113,Hipp_CA2_right
114,Hipp_CA3_A_right
115,Hipp_CA3_P_right
116,Hipp_dentegyrus_A_right
117,Hipp_dentegyrus_P_right
118,Hipp_FC_right
119,Hipp_Sub_A_right
120,Hipp_Sub_P_right
75,Thalamus_A_left
76,Thalamus_P_left
160,Thalamus_A_right
161,Thalamus_P_right
153,SaA_right
154,SaM_right
155,SaP_right
68,SaA_left
69,SaM_left
70,SaP_left
