id,subject,tp,group
2118,20170718_113857_EpiBios_B4C_Rat2118_M_1_1,2d,TBI
2118,20170725_114225_EpiBios_B4C_Rat2118_M_1_2,9d,TBI
2118,20170817_100412_EpiBios_B4C_Rat2118_M_1_3,1mo,TBI
2118,20171206_115451_EpiBios_B4C_Rat2118_M_1_4,5mo,TBI
2119,20170718_132351_EpiBios_B4C_Rat2119_M_1_1,2d,TBI
2119,20170725_132859_EpiBios_B4C_Rat2119_M_1_2,9d,TBI
2119,20170817_115759_EpiBios_B4C_Rat2119_M_1_3,1mo,TBI
2119,20171206_153220_EpiBios_B4C_Rat2119_M_1_4,5mo,TBI
2120,20170718_151130_EpiBios_B4C_Rat2120_M_1_1,2d,TBI
2120,20170725_151117_EpiBios_B4C_Rat2120_M_1_2,9d,TBI
2120,20170817_134837_EpiBios_B4C_Rat2120_M_1_3,1mo,TBI
2120,20171206_100634_EpiBios_B4C_Rat2120_M_1_4,5mo,TBI
2120,20171206_101131_EpiBios_B4C_Rat2120_M_1_5,5mo2,TBI
2121,20170718_095652_EpiBios_B4C_Rat2121_M_1_2,2d,Sham
2121,20170725_100122_EpiBios_B4C_Rat2121_M_1_3,9d,Sham
2121,20170817_153221_EpiBios_B4C_Rat2121_M_1_4,1mo,Sham
2121,20171206_133257_EpiBios_B4C_Rat2121_M_1_5,5mo,Sham
2125,20170719_103725_EpiBios_B4C_Rat2125_M_1_1,2d,TBI
2125,20170726_142912_EpiBios_B4C_Rat2125_M_1_2,9d,TBI
2125,20170818_104112_EpiBios_B4C_Rat2125_M_1_3,1mo,TBI
2125,20171211_123646_EpiBios_B4C_Rat2125_M_1_4,5mo,TBI
2126,20170719_134138_EpiBios_B4C_Rat2126_M_1_1,2d,Sham
2126,20170726_103945_EpiBios_B4C_Rat2126_M_1_2,9d,Sham
2126,20170818_121730_EpiBios_B4C_Rat2126_M_1_3,1mo,Sham
2126,20171211_142834_EpiBios_B4C_Rat2126_M_1_4,5mo,Sham
2130,20170719_152810_EpiBios_B4C_Rat2130_M_1_1,2d,Sham
2130,20170726_124126_EpiBios_B4C_Rat2130_M_1_2,9d,Sham
2130,20170818_135531_EpiBios_B4C_Rat2130_M_1_3,1mo,Sham
2130,20171211_103758_EpiBios_B4C_Rat2130_M_1_4,5mo,Sham
2193,20170815_131048_EpiBios_B4C_Rat2193_M_1_1,2d,TBI
2193,20170822_093331_EpiBios_B4C_Rat2193_M_1_2,9d,TBI
2193,20170911_095641_EpiBios_B4C_Rat2193_M_1_3,1mo,TBI
2194,20170815_111455_EpiBios_B4C_Rat2194_M_1_1,2d,TBI
2194,20170822_113016_EpiBios_B4C_Rat2194_M_1_2,9d,TBI
2194,20170911_113655_EpiBios_B4C_Rat2194_M_1_3,1mo,TBI
2195,20170815_092542_EpiBios_B4C_Rat2195_M_1_1,2d,Sham
2195,20170822_131525_EpiBios_B4C_Rat2195_M_1_2,9d,Sham
2195,20170911_131553_EpiBios_B4C_Rat2195_M_1_3,1mo,Sham
2199,20170815_150132_EpiBios_B4C_Rat2199_M_1_1,2d,TBI
2199,20170822_145142_EpiBios_B4C_Rat2199_M_1_2,9d,TBI
2199,20170911_151503_EpiBios_B4C_Rat2199_M_1_3,1mo,TBI
2201,20170816_132647_EpiBios_B4C_Rat2201_M_1_1,2d,TBI
2201,20170823_114829_EpiBios_B4C_Rat2201_M_1_2,9d,TBI
2201,20170912_134857_EpiBios_B4C_Rat2201_M_1_3,1mo,TBI
2204,20170816_151222_EpiBios_B4C_Rat2204_M_1_1,2d,TBI
2204,20170823_133813_EpiBios_B4C_Rat2204_M_1_2,9d,TBI
2204,20170912_152214_EpiBios_B4C_Rat2204_M_1_3,1mo,TBI
2206,20170816_112918_EpiBios_B4C_Rat2206_M_1_1,2d,Sham
2206,20170816_112918_EpiBios_B4C_Rat2206_M_1_1,2d,Sham
2206,20170823_095238_EpiBios_B4C_Rat2206_M_1_2,9d,Sham
2206,20170823_095238_EpiBios_B4C_Rat2206_M_1_2,9d,Sham
2206,20170912_095610_EpiBios_B4C_Rat2206_M_1_3,1mo,Sham
2206,20170912_095610_EpiBios_B4C_Rat2206_M_1_3,1mo,Sham
2280,20171012_094159_EpiBios_B4C_Rat2280_M_1_1,2d,TBI
2280,20171019_102723_EpiBios_B4C_Rat2280_M_1_2,9d,TBI
2280,20171107_102348_EpiBios_B4C_Rat2280_M_1_3,1mo,TBI
2281,20171012_115637_EpiBios_B4C_Rat2281_M_1_1,2d,Sham
2281,20171019_122947_EpiBios_B4C_Rat2281_M_1_2,9d,Sham
2281,20171107_121648_EpiBios_B4C_Rat2281_M_1_3,1mo,Sham
2286,20171013_115648_EpiBios_B4C_Rat2286_M_1_1,2d,TBI
2286,20171020_094915_EpiBios_B4C_Rat2286_M_1_2,9d,TBI
2286,20171108_121129_EpiBios_B4C_Rat2286_M_1_3,1mo,TBI
2287,20171013_140606_EpiBios_B4C_Rat2287_M_1_1,2d,TBI
2287,20171020_114652_EpiBios_B4C_Rat2287_M_1_2,9d,TBI
2287,20171108_140756_EpiBios_B4C_Rat2287_M_1_3,1mo,TBI
2289,20171013_095225_EpiBios_B4C_Rat2289_M_1_1,2d,Sham
2289,20171020_133844_EpiBios_B4C_Rat2289_M_1_2,9d,Sham
2289,20171108_101520_EpiBios_B4C_Rat2289_M_1_3,1mo,Sham
2291,20171017_094907_EpiBios_B4C_Rat2291_M_1_1,2d,TBI
2291,20171024_094625_EpiBios_B4C_Rat2291_M_1_2,9d,TBI
2291,20171113_133212_EpiBios_B4C_Rat2291_M_1_3,1mo,TBI
2293,20171017_113822_EpiBios_B4C_Rat2293_M_1_1,2d,TBI
2293,20171024_114456_EpiBios_B4C_Rat2293_M_1_2,9d,TBI
2293,20171113_095306_EpiBios_B4C_Rat2293_M_1_3,1mo,TBI
2295,20171017_155249_EpiBios_B4C_Rat2295_M_1_1,2d,TBI
2295,20171024_153451_EpiBios_B4C_Rat2295_M_1_2,9d,TBI
2295,20171113_152205_EpiBios_B4C_Rat2295_M_1_3,1mo,TBI
2297,20171018_112250_EpiBios_B4C_Rat2297_M_1_1,2d,TBI
2297,20171025_113956_EpiBios_B4C_Rat2297_M_1_2,9d,TBI
2297,20171114_132752_EpiBios_B4C_Rat2297_M_1_3,1mo,TBI
2299,20171018_132018_EpiBios_B4C_Rat2299_M_1_1,2d,TBI
2299,20171025_133735_EpiBios_B4C_Rat2299_M_1_2,9d,TBI
2299,20171114_100340_EpiBios_B4C_Rat2299_M_1_3,1mo,TBI
2300,20171018_092930_EpiBios_B4C_Rat2300_M_1_1,2d,TBI
2301,20171018_160544_EpiBios_B4C_Rat2301_M_1_1,2d,Sham
2301,20171025_094003_EpiBios_B4C_Rat2301_M_1_2,9d,Sham
2301,20171114_114909_EpiBios_B4C_Rat2301_M_1_3,1mo,Sham
