id,group,tp
45,TBI,2d
3001,Sham,2d
3003,Sham,2d
3004,Sham,2d
3006,Sham,2d
3007,Sham,2d
3008,Sham,2d
3016,TBI,2d
3022,TBI,2d
3024,TBI,2d
3026,TBI,2d
3027,TBI,2d
3028,TBI,2d
3029,Sham,2d
3030,TBI,2d
3032,TBI,2d
3034,TBI,2d
3035,TBI,2d
3037,TBI,2d
3038,Sham,2d
3043,TBI,2d
3071,TBI,2d
3072,TBI,2d
3073,TBI,2d
3074,TBI,2d
3075,Sham,2d
3106,TBI,2d
3107,TBI,2d
3116,TBI,2d
3118,Sham,2d
3119,TBI,2d
3120,Sham,2d
3124,TBI,2d
3126,TBI,2d
3127,TBI,2d
3128,TBI,2d
3139,TBI,2d
3141,TBI,2d
3143,TBI,2d
3144,Sham,2d
3152,TBI,2d
3153,TBI,2d
3154,TBI,2d
3162,TBI,2d
3164,TBI,2d
3209,TBI,2d
3210,TBI,2d
3217,TBI,2d
3218,TBI,2d
45,TBI,9d
3001,Sham,9d
3003,Sham,9d
3004,Sham,9d
3006,Sham,9d
3007,Sham,9d
3008,Sham,9d
3016,TBI,9d
3022,TBI,9d
3024,TBI,9d
3026,TBI,9d
3027,TBI,9d
3028,TBI,9d
3029,Sham,9d
3030,TBI,9d
3032,TBI,9d
3034,TBI,9d
3035,TBI,9d
3037,TBI,9d
3038,Sham,9d
3043,TBI,9d
3071,TBI,9d
3072,TBI,9d
3073,TBI,9d
3074,TBI,9d
3075,Sham,9d
3106,TBI,9d
3107,TBI,9d
3116,TBI,9d
3118,Sham,9d
3119,TBI,9d
3120,Sham,9d
3124,TBI,9d
3126,TBI,9d
3127,TBI,9d
3128,TBI,9d
3139,TBI,9d
3141,TBI,9d
3143,TBI,9d
3144,Sham,9d
3152,TBI,9d
3153,TBI,9d
3154,TBI,9d
3162,TBI,9d
3164,TBI,9d
3209,TBI,9d
3210,TBI,9d
3217,TBI,9d
3218,TBI,9d
45,TBI,1mo
3001,Sham,1mo
3003,Sham,1mo
3004,Sham,1mo
3006,Sham,1mo
3007,Sham,1mo
3008,Sham,1mo
3016,TBI,1mo
3022,TBI,1mo
3024,TBI,1mo
3026,TBI,1mo
3027,TBI,1mo
3028,TBI,1mo
3029,Sham,1mo
3030,TBI,1mo
3032,TBI,1mo
3034,TBI,1mo
3035,TBI,1mo
3037,TBI,1mo
3038,Sham,1mo
3043,TBI,1mo
3071,TBI,1mo
3072,TBI,1mo
3073,TBI,1mo
3074,TBI,1mo
3075,Sham,1mo
3106,TBI,1mo
3107,TBI,1mo
3116,TBI,1mo
3118,Sham,1mo
3119,TBI,1mo
3120,Sham,1mo
3124,TBI,1mo
3126,TBI,1mo
3127,TBI,1mo
3128,TBI,1mo
3139,TBI,1mo
3141,TBI,1mo
3143,TBI,1mo
3144,Sham,1mo
3152,TBI,1mo
3153,TBI,1mo
3154,TBI,1mo
3162,TBI,1mo
3164,TBI,1mo
3209,TBI,1mo
3210,TBI,1mo
3217,TBI,1mo
3218,TBI,1mo
45,TBI,5mo
3001,Sham,5mo
3003,Sham,5mo
3004,Sham,5mo
3006,Sham,5mo
3007,Sham,5mo
3008,Sham,5mo
3016,TBI,5mo
3022,TBI,5mo
3024,TBI,5mo
3026,TBI,5mo
3027,TBI,5mo
3028,TBI,5mo
3029,Sham,5mo
3030,TBI,5mo
3032,TBI,5mo
3034,TBI,5mo
3035,TBI,5mo
3037,TBI,5mo
3038,Sham,5mo
3043,TBI,5mo
3071,TBI,5mo
3072,TBI,5mo
3073,TBI,5mo
3074,TBI,5mo
3075,Sham,5mo
3106,TBI,5mo
3107,TBI,5mo
3116,TBI,5mo
3118,Sham,5mo
3119,TBI,5mo
3120,Sham,5mo
3124,TBI,5mo
3126,TBI,5mo
3127,TBI,5mo
3128,TBI,5mo
3139,TBI,5mo
3141,TBI,5mo
3143,TBI,5mo
3144,Sham,5mo
3152,TBI,5mo
3153,TBI,5mo
3154,TBI,5mo
3162,TBI,5mo
3164,TBI,5mo
3209,TBI,5mo
3210,TBI,5mo
3217,TBI,5mo
3218,TBI,5mo
