subject,id,tp
gds181009_3116.PL1,3116,1mo
gds181009_3118.PL1,3118,1mo
gds181009_3119.PL1,3119,1mo
gds181009_3120.PL1,3120,1mo
gds181010_3106.PM1,3106,1mo
gds181010_3107.PM1,3107,1mo
gds181010_3124.PM1,3124,1mo
gds181010_3126.PM1,3126,1mo
gds181010_3127.PN1,3127,1mo
gds181010_3128.PN1,3128,1mo
gds180219_3001.M11,3001,1mo
gds180219_3003.M11,3003,1mo
gds180219_3004.M11,3004,1mo
gds180219_3006.M11,3006,1mo
gds180219_3007.M21,3007,1mo
gds180219_3008.M21,3008,1mo
gds180315_045.Mp1,045,1mo
gds180315_3016.Mp1,3016,1mo
gds180326_3024.MA1,3024,1mo
gds180326_3026.MA1,3026,1mo
gds180326_3027.MA1,3027,1mo
gds180326_3028.MB1,3028,1mo
gds180326_3029.MB1,3029,1mo
gds180326b_3022.MA1,3022,1mo
gds180327_3030.MB1,3030,1mo
gds180327_3032.MB1,3032,1mo
gds180327_3034.MB1,3034,1mo
gds180327_3037.MB1,3037,1mo
gds180327_3038.MC1,3038,1mo
gds180418_3043.MY1,3043,1mo
gds180514_3072.Nn1,3072,1mo
gds180514_3073.Nn1,3073,1mo
gds180514_3074.Nn1,3074,1mo
gds180514_3075.Nn1,3075,1mo
gds180913_3116.Pl1,3116,2d
gds180913_3118.Pl1,3118,2d
gds180913_3119.Pl1,3119,2d
gds180913_3120.Pl1,3120,2d
gds180914_3106.Pm1,3106,2d
gds180914_3107.Pm1,3107,2d
gds180914_3124.Pm1,3124,2d
gds180914_3126.Pn1,3126,2d
gds180914_3127.Pn1,3127,2d
gds180914_3128.Pn1,3128,2d
gds180124_3001.LB1,3001,2d
gds180124_3003.LB1,3003,2d
gds180124_3004.LB1,3004,2d
gds180124_3006.LB1,3006,2d
gds180124_3007.LC1,3007,2d
gds180124_3008.LC1,3008,2d
gds180216_045.LY1,045,2d
gds180216_3016.LY1,3016,2d
gds180228_3022.Ma1,3022,2d
gds180228_3024.Ma1,3024,2d
gds180228_3026.Ma1,3026,2d
gds180228_3027.Ma1,3027,2d
gds180228_3028.Mb1,3028,2d
gds180228_3029.Mb1,3029,2d
gds180301_3030.Mb1,3030,2d
gds180301_3032.Mb1,3032,2d
gds180301_3034.Mb1,3034,2d
gds180301_3035.Mb1,3035,2d
gds180301_3037.Mc1,3037,2d
gds180301_3038.Mc1,3038,2d
gds180315_3043.Mp1,3043,2d
gds180418_3071.MX1,3071,2d
gds180418_3072.MX1,3072,2d
gds180418_3073.MX1,3073,2d
gds180418_3074.MY1,3074,2d
gds180418_3075.MY1,3075,2d
gds180611_3001.NP1,3001,5mo
gds180611_3003.NP1,3003,5mo
gds180611_3004.NP1,3004,5mo
gds180611_3006.NP1,3006,5mo
gds180611_3007.NP1,3007,5mo
gds180611_3008.NQ1,3008,5mo
gds180705_045.Od1,045,5mo
gds180705_3016.Od1,3016,5mo
gds180720_3022.Os1,3022,5mo
gds180720_3024.Os1,3024,5mo
gds180720_3026.Os1,3026,5mo
gds180720_3027.Os1,3027,5mo
gds180720_3028.Ot1,3028,5mo
gds180720_3029.Ot1,3029,5mo
gds180721_3030.Ot1,3030,5mo
gds180721_3032.Ot1,3032,5mo
gds180721_3034.Ot1,3034,5mo
gds180721_3037.Ot1,3037,5mo
gds180721_3038.Ot1,3038,5mo
gds180903_3072.Pb1,3072,5mo
gds180903_3073.Pb1,3073,5mo
gds180903_3074.Pb1,3074,5mo
gds180903_3075.Pb1,3075,5mo
gds180920_3116.Ps1,3116,9d
gds180920_3118.Ps1,3118,9d
gds180920_3119.Ps1,3119,9d
gds180920_3120.Ps1,3120,9d
gds180921_3106.Pt1,3106,9d
gds180921_3107.Pt1,3107,9d
gds180921_3124.Pt1,3124,9d
gds180921_3126.Pt1,3126,9d
gds180921_3127.Pu1,3127,9d
gds180921_3128.Pu1,3128,9d
gds180131_3001.LI1,3001,9d
gds180131_3003.LI1,3003,9d
gds180131_3004.LI1,3004,9d
gds180131_3006.LI1,3006,9d
gds180131_3007.LJ1,3007,9d
gds180131_3008.LJ1,3008,9d
gds180223_045.M51,045,9d
gds180223_3016.M51,3016,9d
gds180307_3022.Mh1,3022,9d
gds180307_3024.Mh1,3024,9d
gds180307_3026.Mh1,3026,9d
gds180307_3027.Mh1,3027,9d
gds180307_3028.Mi1,3028,9d
gds180307_3029.Mi1,3029,9d
gds180309_3030.Mj1,3030,9d
gds180309_3032.Mj1,3032,9d
gds180309_3034.Mj1,3034,9d
gds180309_3037.Mj1,3037,9d
gds180309_3038.Mk1,3038,9d
gds180327_3043.MC1,3043,9d
gds180424_3072.N31,3072,9d
gds180424_3073.N31,3073,9d
gds180424_3074.N31,3074,9d
gds180424_3075.N31,3075,9d
